,day,CP Price,BAYC Price
285,2017-10-13 00:00:00.000,0.18333333333333202,
286,2017-10-14 00:00:00.000,0.18333333333333202,
287,2017-10-15 00:00:00.000,0.143333333333332,
288,2017-10-16 00:00:00.000,0.19666666666666602,
289,2017-10-17 00:00:00.000,0.194999999999999,
290,2017-10-18 00:00:00.000,0.194999999999999,
291,2017-10-19 00:00:00.000,0.189999999999999,
292,2017-10-20 00:00:00.000,0.20499999999999902,
293,2017-10-21 00:00:00.000,0.22333333333333202,
294,2017-10-22 00:00:00.000,0.22333333333333202,
295,2017-10-23 00:00:00.000,0.28999999999999904,
296,2017-10-24 00:00:00.000,0.259999999999998,
297,2017-10-25 00:00:00.000,0.14999999999999802,
298,2017-10-26 00:00:00.000,0.12499999999999901,
299,2017-10-27 00:00:00.000,0.12499999999999901,
300,2017-10-28 00:00:00.000,0.116666666666666,
301,2017-10-29 00:00:00.000,0.08999999999999901,
302,2017-10-30 00:00:00.000,0.08999999999999901,
303,2017-10-31 00:00:00.000,0.09249999999999901,
304,2017-11-01 00:00:00.000,0.08999999999999901,
305,2017-11-02 00:00:00.000,0.094999999999999,
306,2017-11-03 00:00:00.000,0.093333333333332,
307,2017-11-04 00:00:00.000,0.08999999999999901,
308,2017-11-05 00:00:00.000,0.08999999999999901,
309,2017-11-06 00:00:00.000,0.08999999999999801,
310,2017-11-07 00:00:00.000,0.49499999999999905,
311,2017-11-08 00:00:00.000,0.899999999999998,
312,2017-11-09 00:00:00.000,0.899999999999998,
313,2017-11-10 00:00:00.000,0.899999999999998,
316,2017-11-13 00:00:00.000,0.09999999999999801,
317,2017-11-14 00:00:00.000,0.14999999999999902,
318,2017-11-15 00:00:00.000,0.133333333333332,
319,2017-11-16 00:00:00.000,0.133333333333332,
320,2017-11-17 00:00:00.000,0.14999999999999902,
321,2017-11-18 00:00:00.000,0.09999999999999801,
322,2017-11-19 00:00:00.000,0.09999999999999801,
323,2017-11-20 00:00:00.000,0.099999999999999,
324,2017-11-21 00:00:00.000,0.099999999999999,
325,2017-11-22 00:00:00.000,0.09666666666666601,
326,2017-11-23 00:00:00.000,0.094999999999999,
327,2017-11-24 00:00:00.000,0.08999999999999901,
328,2017-11-25 00:00:00.000,0.159999999999999,
329,2017-11-26 00:00:00.000,0.159999999999999,
330,2017-11-27 00:00:00.000,0.159999999999999,
331,2017-11-28 00:00:00.000,0.133333333333332,
332,2017-11-29 00:00:00.000,0.049999999999999004,
333,2017-11-30 00:00:00.000,0.053333333333332004,
334,2017-12-01 00:00:00.000,0.06249999999999901,
335,2017-12-02 00:00:00.000,0.08999999999999901,
336,2017-12-03 00:00:00.000,0.095249999999999,
337,2017-12-04 00:00:00.000,0.09274999999999901,
338,2017-12-05 00:00:00.000,0.09274999999999901,
339,2017-12-06 00:00:00.000,0.08524999999999901,
340,2017-12-07 00:00:00.000,0.10499999999999901,
341,2017-12-08 00:00:00.000,0.11999999999999901,
342,2017-12-09 00:00:00.000,0.129999999999999,
343,2017-12-10 00:00:00.000,0.14999999999999902,
344,2017-12-11 00:00:00.000,0.133333333333332,
345,2017-12-12 00:00:00.000,0.116666666666666,
346,2017-12-13 00:00:00.000,0.112499999999999,
347,2017-12-14 00:00:00.000,0.099999999999999,
348,2017-12-15 00:00:00.000,0.094999999999999,
349,2017-12-16 00:00:00.000,0.094999999999999,
350,2017-12-17 00:00:00.000,0.094999999999999,
351,2017-12-18 00:00:00.000,0.099999999999999,
352,2017-12-19 00:00:00.000,0.10499999999999901,
353,2017-12-20 00:00:00.000,0.10499999999999901,
354,2017-12-21 00:00:00.000,0.10499999999999901,
