id,skin,url
9562,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk9562.png
6973,white,https://www.larvalabs.com/cryptopunks/cryptopunk6973.png
1383,white,https://www.larvalabs.com/cryptopunks/cryptopunk1383.png
282,white,https://www.larvalabs.com/cryptopunks/cryptopunk282.png
3228,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk3228.png
5407,Black,https://www.larvalabs.com/cryptopunks/cryptopunk5407.png
3399,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk3399.png
2442,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk2442.png
8138,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk8138.png
1434,Black,https://www.larvalabs.com/cryptopunks/cryptopunk1434.png
533,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk533.png
5963,white,https://www.larvalabs.com/cryptopunks/cryptopunk5963.png
2327,white,https://www.larvalabs.com/cryptopunks/cryptopunk2327.png
9300,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk9300.png
8115,Black,https://www.larvalabs.com/cryptopunks/cryptopunk8115.png
3700,Black,https://www.larvalabs.com/cryptopunks/cryptopunk3700.png
9129,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk9129.png
7288,Black,https://www.larvalabs.com/cryptopunks/cryptopunk7288.png
34,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk34.png
3772,white,https://www.larvalabs.com/cryptopunks/cryptopunk3772.png
1006,Black,https://www.larvalabs.com/cryptopunks/cryptopunk1006.png
6591,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk6591.png
6306,Black,https://www.larvalabs.com/cryptopunks/cryptopunk6306.png
7924,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk7924.png
8543,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk8543.png
9943,white,https://www.larvalabs.com/cryptopunks/cryptopunk9943.png
7695,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk7695.png
1897,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk1897.png
1322,Black,https://www.larvalabs.com/cryptopunks/cryptopunk1322.png
9821,Black,https://www.larvalabs.com/cryptopunks/cryptopunk9821.png
1855,Black,https://www.larvalabs.com/cryptopunks/cryptopunk1855.png
4454,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk4454.png
9973,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk9973.png
5222,Black,https://www.larvalabs.com/cryptopunks/cryptopunk5222.png
9041,Black,https://www.larvalabs.com/cryptopunks/cryptopunk9041.png
2102,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk2102.png
4839,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk4839.png
6221,Black,https://www.larvalabs.com/cryptopunks/cryptopunk6221.png
8303,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk8303.png
2366,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk2366.png
1406,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk1406.png
5455,Black,https://www.larvalabs.com/cryptopunks/cryptopunk5455.png
3460,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk3460.png
365,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk365.png
1613,Black,https://www.larvalabs.com/cryptopunks/cryptopunk1613.png
4472,Zombie,https://www.larvalabs.com/cryptopunks/cryptopunk4472.png
5612,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk5612.png
120,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk120.png
6237,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk6237.png
4741,Black,https://www.larvalabs.com/cryptopunks/cryptopunk4741.png
1151,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk1151.png
4415,white,https://www.larvalabs.com/cryptopunks/cryptopunk4415.png
866,white,https://www.larvalabs.com/cryptopunks/cryptopunk866.png
2928,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk2928.png
8967,white,https://www.larvalabs.com/cryptopunks/cryptopunk8967.png
2407,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk2407.png
9215,white,https://www.larvalabs.com/cryptopunks/cryptopunk9215.png
2558,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk2558.png
6340,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk6340.png
7264,Black,https://www.larvalabs.com/cryptopunks/cryptopunk7264.png
8805,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk8805.png
4,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk4.png
5002,Black,https://www.larvalabs.com/cryptopunks/cryptopunk5002.png
6408,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk6408.png
4313,white,https://www.larvalabs.com/cryptopunks/cryptopunk4313.png
967,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk967.png
7730,Black,https://www.larvalabs.com/cryptopunks/cryptopunk7730.png
5780,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk5780.png
1250,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk1250.png
6407,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk6407.png
3216,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk3216.png
9066,Black,https://www.larvalabs.com/cryptopunks/cryptopunk9066.png
3842,white,https://www.larvalabs.com/cryptopunks/cryptopunk3842.png
7074,Black,https://www.larvalabs.com/cryptopunks/cryptopunk7074.png
1993,white,https://www.larvalabs.com/cryptopunks/cryptopunk1993.png
9807,white,https://www.larvalabs.com/cryptopunks/cryptopunk9807.png
1801,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk1801.png
6878,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk6878.png
2648,Black,https://www.larvalabs.com/cryptopunks/cryptopunk2648.png
2504,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk2504.png
7898,Arab,https://www.larvalabs.com/cryptopunks/cryptopunk7898.png
6008,Black,https://www.larvalabs.com/cryptopunks/cryptopunk6008.png
1813,Black,https://www.larvalabs.com/cryptopunks/cryptopunk1813.png
8556,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk8556.png
4270,white,https://www.larvalabs.com/cryptopunks/cryptopunk4270.png
3427,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk3427.png
5701,Black,https://www.larvalabs.com/cryptopunks/cryptopunk5701.png
56,Black,https://www.larvalabs.com/cryptopunks/cryptopunk56.png
2947,Black,https://www.larvalabs.com/cryptopunks/cryptopunk2947.png
6482,Black,https://www.larvalabs.com/cryptopunks/cryptopunk6482.png
8167,Latino,https://www.larvalabs.com/cryptopunks/cryptopunk8167.png
